idfasenotadisciplinaturma,idturma_x,idfasenota,iddisciplina_x,conteudoprogramatico,idperiodo,idserie,numerofase,nomefase,cabecboletim,imprimirboletimnotaparcial,imprimirboletimnpnaoconfirmada,imprimirboletimnota,imprimirboletimfaltas,stfaseinformada,stcalculardisciplinacomposta,idformulacomposicaonota,idformulanota,mediaminimaaprovacao,valorarredondamentomedia,idformulaaprovacao,idformulafalta,idfasenotaaprovacao,idfasenotareprovacao,datainicioexibicao,numeroordemexibicao,numerosemanasletivas,stcalcularsituacaogeral,idformulaaprovacaofrequencia,valornotamaxima,datainicialperiodoaula,datafinalperiodoaula,stcalcdisccomputilizaformulafn,datalimitedigitacaonota,numerodiasletivos,stdispensarnotaautomatica,tipodispensaautomatica,stconfirmardispensaautomatica,situacaoreprovadofrequencia,situacaoaprovado,situacaoreprovado,stfasenotasemprecalcular,tipoinformada,stpermiteprofessorimportarpadraoavaliacao,stpermiteprofessorinserireditaravaliacao,stpermiteprofessorinserirbloco,iddisciplina_y,idturma_y,idaluno,nota01,nota02,nota03,nota04,nota05,nota06,nota07,nota08,nota09,nota10,idformulacomposicao,stnotaconfirmada,notafase,faltas,quantaulasdadas,_nota01,stnotafaseexibirdisp,idfasenotaaluno,dt_pst
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,18,421,1044,,,,,,,,,,,55.0,false,,0.0,,,false,10012,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,18,421,1050,,,,,,,,,,,55.0,false,,0.0,,,false,10013,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,1,422,944,2.0,,,,,,,,,,55.0,true,2.0,0.0,,,false,10014,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,1,422,978,4.6,,,,,,,,,,55.0,true,5.0,0.0,,,false,10015,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,1,422,1002,3.5,,,,,,,,,,55.0,true,3.5,0.0,,,false,10016,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,1,422,1012,3.5,,,,,,,,,,55.0,true,3.5,0.0,,,false,10017,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,1,422,1017,3.5,,,,,,,,,,55.0,true,3.5,0.0,,,false,10018,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,1,422,1018,0.5,,,,,,,,,,55.0,true,0.5,0.0,,,false,10019,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,1,422,1042,3.0,,,,,,,,,,55.0,true,3.0,0.0,,,false,10020,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,1,422,1046,1.5,,,,,,,,,,55.0,true,1.5,0.0,,,false,10021,2025-02-09
