nome,instituicao_ensino_aluno,idade_aluno,anos_pm,fase,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,ano,dt_pst
ALUNO-772,,,,7,Não,7.225595238095238,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.25,8.69047619047619,6.25,9,5.625,6.875,5,2022,2025-01-19
ALUNO-773,,,,3,Sim,8.655707365079365,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,9.88095238095238,7.5,8.444444444444445,8.90625,9.250005000000002,5,2022,2025-01-19
ALUNO-774,,,,3,Sim,8.639021494227995,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.33334,9.415584415584416,7.5,7.555555555555556,8.28125,9.1666725,10,2022,2025-01-19
ALUNO-778,,,,0,Não,6.817738854251012,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,5.411605937921728,7.5,6.083333333333333,4.6875,7.499995,10,2022,2025-01-19
ALUNO-781,,,,3,Não,6.2357055994561,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0,7.764641608391608,6.25,6.788888888888889,7.5,7.2499975,5,2022,2025-01-19
ALUNO-783,,,,2,Não,6.535165330634278,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,3.49998,8.49527665317139,5,6.25,6.25,8.05556,5,2022,2025-01-19
ALUNO-784,,,,3,Não,8.217507976608186,,Topázio,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.75001,9.736842105263158,4.375,7.277777777777779,8.4375,8.291665,10,2022,2025-01-19
ALUNO-787,,,,5,Não,6.670710665501166,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,6.765005827505828,7.5,6.75,7.34375,5.9583375,5,2022,2025-01-19
ALUNO-788,,,,5,Não,6.047779596553774,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,8.440285204991088,6.25,2.111111111111111,5.208333333333334,7.08333,5,2022,2025-01-19
ALUNO-790,,,,5,Não,8.404169666666668,,Topázio,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,10,7.5,7,6.041666666666667,8.250005,10,2022,2025-01-19
